,ID,text,target,label,sentiment
29,29,"March 8, 2016 Ohio is holding our Primaries! The date is subject to change. #Ohio #OurChampion #SemST",Hillary Clinton,NONE,POSITIVE
30,30,@RIGHTZONE @WethePeoplePets Let's hope the VOTERS remember! #HillNo #SemST,Hillary Clinton,AGAINST,POSITIVE
31,31,Hillary Clinton has not driven a car since 1996. #clintonfakerealityshow #SemST,Hillary Clinton,AGAINST,NEGATIVE
32,32,"@NaughtyBeyotch @TheRealMadman23  Don't care for #Fiorina, but it seems she taking the #sexist gut punches by the #media. #MSM #SemST",Hillary Clinton,NONE,NEGATIVE
33,33,"@FoxNews @marthamaccallum @BillHemmer whose the opportunist now, #NoHillary2016 #SemST",Hillary Clinton,AGAINST,NEGATIVE
34,34,@HillaryClinton @WomenintheWorld we need to re-establish a #global system dominated by love and affection have #moral_humane RT #SemST,Hillary Clinton,FAVOR,POSITIVE
35,35,#Hillary is as transparent as a brick wall #LibertyNotHillary #SemST,Hillary Clinton,AGAINST,NEGATIVE
36,36,@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary #SemST,Hillary Clinton,AGAINST,NEGATIVE
37,37,"@josephbenning I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck. #SemST",Hillary Clinton,NONE,NEITHER
38,38,"What are you afraid of @HillaryClinton? If you can't answer questions from the press, why do we want you as POTUS #SemST",Hillary Clinton,AGAINST,NEGATIVE
39,39,"Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State. #SemST",Hillary Clinton,AGAINST,NEGATIVE
40,40,CEO pay the target for 2016 election. From someone who makes more than most CEO's but you drank the Kool-Aid. #SemST,Hillary Clinton,NONE,NEGATIVE
41,41,@NBCNews including repealing the first amendment. Way to go #SemST,Hillary Clinton,AGAINST,NEGATIVE
42,42,@NBCNews Stop promoting @HillaryClinton. She is a liar. Just like her impeached husband. #WakeUpAmerica  #SemST,Hillary Clinton,AGAINST,NEGATIVE
43,43,Lets take back our country! Whos with me? No more Democrats!2016 #SemST,Hillary Clinton,AGAINST,POSITIVE
44,44,"RT @AnthonyCumia: If Hillary IS elected, I have my transition team together to smoothly move me from a racist to a sexist. #SemST",Hillary Clinton,AGAINST,NEGATIVE
45,45,I'm #ThatChampion who got kicked off the #Watergate team due to misconduct.  #tcot #SemST,Hillary Clinton,NONE,NEGATIVE
46,46,.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T! #SemST,Hillary Clinton,AGAINST,NEGATIVE
47,47,@JVollmer08 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia #SemST,Hillary Clinton,FAVOR,POSITIVE
48,48,Probably not perfect for everyone--which I think is great. But this is the beginning of a conversation. #SemST,Hillary Clinton,NONE,POSITIVE
49,49,I'm on the edge of my seat to start volunteering for @HillaryClinton 's presidential campaign!  So excited!!  #cantwait #SemST,Hillary Clinton,FAVOR,POSITIVE
50,50,RT @FutureTXLeader: Is everyone in #ElPaso #Texas ready for president #MarcoRubio #UTEP #NewAmericanCentury #2016 #Future #Rub... #SemST,Hillary Clinton,AGAINST,POSITIVE
51,51,Just laid down the law on abortion in my bioethics class. #Catholic #SemST,Legalization of Abortion,AGAINST,NEGATIVE
52,52,@tooprettyclub Are you OK with #GOP males telling you what you can and can't do with your own body? #SemST,Legalization of Abortion,FAVOR,NEGATIVE
53,53,"If you don't want your kid, put it up for adoption. #sorrynotsorry #SemST",Legalization of Abortion,AGAINST,NEGATIVE
54,54,"@RedAlert -there should be a ""stigma"" to butchering pre-born children - its a horrendous crime against humanity.  #murder #SemST",Legalization of Abortion,AGAINST,NEGATIVE
55,55,But isn't that the problem then. Not enough faith. #gaystapo #socialism #SemST,Legalization of Abortion,NONE,NEGATIVE
56,56,Life is our first and most basic human right. #SemST,Legalization of Abortion,AGAINST,POSITIVE
57,57,Rise & Shine its a new day & you're alive. Thank God 4 another day of precious life. #Christian #Catholic #TeamJesus #SemST,Legalization of Abortion,AGAINST,POSITIVE
58,58,Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism #wtf #SemST,Legalization of Abortion,FAVOR,NEGATIVE
59,59,@AsaSoltan putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs #SemST,Legalization of Abortion,FAVOR,POSITIVE
60,60,Last meeting of the year tonight! 7:00 pm in Case Hall room 334A. Come one come all! Pizza and pop will be provided! #SemST,Legalization of Abortion,NONE,POSITIVE
61,61,"FACT: 17% of today's population is equivalent to residents in New York, Florida, and Pennsylvania.  Where's the outrage for this?  #SemST",Legalization of Abortion,NONE,NEGATIVE
62,62,They say God isn't listening? Just look at that radar today. #prayfornepal #SemST,Legalization of Abortion,NONE,POSITIVE
63,63,If you believe in its power; then pray. #Nepal #Baltimore #ISIS #Kenya #GenderChange #Injustice #Slavery #Racism #MiddleEast #SemST,Legalization of Abortion,NONE,POSITIVE
64,64,Planned Parenthood lines its pockets while sacrificing women and children in need at the altar of abortion. #SemST,Legalization of Abortion,AGAINST,NEGATIVE
65,65,It is not progressive to try to resolve problems by eliminating a human life. - #PopeFrancis #SemST,Legalization of Abortion,AGAINST,NEGATIVE
66,66,"RT @TheKeyisPrayer: ""No law can give me the right to do what is wrong.""  -Abraham Lincoln #SemST",Legalization of Abortion,AGAINST,NEITHER
67,67,We live in a world where people care more about religious rights than consent & reproductive rights.... #SemST,Legalization of Abortion,FAVOR,NEGATIVE
68,68,we remind ourselves that love means to be willing to give until it hurts - Mother Teresa #SemST,Legalization of Abortion,AGAINST,POSITIVE
69,69,"Life, what a beautiful choice. Adoption. Not abortion. #SemST",Legalization of Abortion,AGAINST,POSITIVE
70,70,My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine. #smartlady #SemST,Legalization of Abortion,FAVOR,NEGATIVE
71,71,"@ShowTruth Keeping pregnant people safe is a great reason for abortion, though. #SemST",Legalization of Abortion,FAVOR,POSITIVE
72,72,@rosaryrevival When we #PrayTheRosary lest we forget to #Prayforpersecutedchurch #PrayForIsrael #PrayForUkraine #SemST,Legalization of Abortion,NONE,POSITIVE
73,73,#cogar @RefCom_ie get more #questions on #d #ballott! #ireland's #dail is stuck. We'll #help! #drugswar #landwar #etc. #tanks #SemST,Legalization of Abortion,NONE,POSITIVE
74,74,"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3 #SemST",Legalization of Abortion,FAVOR,POSITIVE
75,75,"@mrprolife You would force a woman to risk her health, sanity, and life, to continue a doomed pregnancy. Against her will. No. #SemST",Legalization of Abortion,FAVOR,NEGATIVE
76,76,Whether someone wants to have children or not should be completely up to the person carrying that pregnancy... #SemST,Legalization of Abortion,FAVOR,POSITIVE
77,77,I will agree to gay marriage if you agree to pro-life and then adopt babies that would have been aborted. #SemST,Legalization of Abortion,AGAINST,NEGATIVE
78,78,"On Manila TV,Monday: #Pacquiao appeals to @IndonesiaPresident -don't execute #MaryJaneVeloso #deathRow #drugTrafficking #Christian #SemST",Legalization of Abortion,NONE,NEGATIVE
79,79,Too far? Sorry so is he #SemST,Legalization of Abortion,NONE,NEGATIVE
80,80,I watched #AfterTiller and it gave me a whole new perspective on a woman's right to choose. #womensRights #SemST,Legalization of Abortion,FAVOR,POSITIVE
81,81,@explicit0ceans I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense. #SemST,Legalization of Abortion,FAVOR,NEGATIVE
82,82,True progressives work toward greater inclusion and protections for the marginalized. Standing up for the unborn is progressive! #SemST,Legalization of Abortion,AGAINST,POSITIVE
83,83,MT @ProLifePolitics- Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators! #SemST,Legalization of Abortion,AGAINST,POSITIVE
84,84,Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO. #SemST,Legalization of Abortion,AGAINST,NEGATIVE
85,85,"@explicit0ceans whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved. #SemST",Legalization of Abortion,AGAINST,NEGATIVE
86,86,Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote #SemST,Legalization of Abortion,FAVOR,POSITIVE
87,87,"Sadly, most health insurance plans don't cover abortions, so the price can be quite high.... #SemST",Legalization of Abortion,FAVOR,NEGATIVE
88,88,@Britt_Ghiroli @mboyle1 But the Mayor of Baltimore said to give rioters to rioters. #BlackLivesMatter #Except2Democrats #Sanger #SemST,Legalization of Abortion,NONE,NEGATIVE
89,89,It is so much fun having younger friends who are expecting babies. #beentheredonethat #chooselife #SemST,Legalization of Abortion,AGAINST,POSITIVE
90,90,Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright #SemST,Legalization of Abortion,AGAINST,NEGATIVE
91,91,I refuse to let people like you shame and insult women for accessing healthcare. Sorry. Just no.  #SemST,Legalization of Abortion,FAVOR,NEGATIVE
92,92,pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen #SemST,Legalization of Abortion,FAVOR,NEGATIVE
93,93,U know what isn't funny? Male politicians deciding what women should do with their body's. #SemST,Legalization of Abortion,FAVOR,NEGATIVE
94,94,"I was born 4 months premature... I'm perfectly fine, somehow killing babies is legal in this country. #SemST",Legalization of Abortion,AGAINST,NEGATIVE
95,95,You can't kill someone cause you claim you made a mistake. If true nobody would go to jail for killing their spouse. #SemST,Legalization of Abortion,AGAINST,NEGATIVE
96,96,"@Corey_Frizzell @PEILiberalParty and most Islanders have different definitions of ""timely access"". #irony #peipoli #peivotes #SemST",Legalization of Abortion,NONE,NEGATIVE
97,97,@Docjp Pressure? It's their job and they are failing miserably at keeping the promises they made.  #GOP #PJNET #Amnesty #Obamacare #SemST,Legalization of Abortion,NONE,NEGATIVE
98,98,I love how #liberals only accuse #conservatives of war on women when we don't want to fund #SemST,Legalization of Abortion,AGAINST,NEGATIVE
99,99,Help your friend figure out how they're going to get there and where to stay if they need to spend the night #SemST,Legalization of Abortion,NONE,POSITIVE
100,100,@JimDDaniels1 Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on #SemST,Legalization of Abortion,AGAINST,NEGATIVE
